assay_id,uniprot_id,taxon,coarse_selection_type,model,score_column,modality,evaluation_type,spearman,rmse,mae,r2,top_fraction,top_recall,selected_target_mean,selection_gain_sd,best_variant_regret_sd,test_rows
PTEN_HUMAN_Matreyek_2021,PTEN_HUMAN,Human,Expression,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.2953236619447107,15.361690500951646,15.159086569416587,-2432.8879583513576,0.1,0.1925343811394892,0.9051090104784716,0.6045820639834305,0.43116126120969345,5083
PTEN_HUMAN_Mighell_2018,PTEN_HUMAN,Human,Activity,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.2853659170293605,13.812045863637083,13.568824645362499,-93.51187550570252,0.1,0.15151515151515152,-0.2695316945633608,0.4583072216254124,0.0,7260
Q2N0S5_9HIV1_Haddox_2018,Q2N0S5_9HIV1,Virus,OrganismalFitness,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.15166895605719954,11.268800186896152,10.648972783379728,-24.656942078396312,0.1,0.15710919088766692,-1.736174750306363,0.3206875628233141,0.15347538629954885,12729
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,Q53Z42_HUMAN,Human,Binding,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.18305503441348675,10.14666577370965,9.636254309375891,-89.13937975357842,0.1,0.11044776119402985,0.488044776119403,0.3593893140115062,0.39299155501023164,3344
Q53Z42_HUMAN_McShan_2019_expression,Q53Z42_HUMAN,Human,Expression,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.43559811047176983,9.00689821730147,8.519391979281412,-22.69005620926724,0.1,0.20597014925373133,0.21144776119402992,0.6646135933146099,0.7835663783573269,3344
Q59976_STRSQ_Romero_2015,Q59976_STRSQ,Prokaryote,Activity,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.6406952041098932,8.156114049981321,7.27068464656606,-84.42527787340357,0.1,0.29,-0.24966999999999998,0.7861882733842447,0.9802255479611718,2999
Q6WV12_9MAXI_Somermeyer_2022,Q6WV12_9MAXI,Eukaryote,Activity,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.0974001967306198,15189.61653398559,14511.57538180834,-10.456105764183212,0.1,0.12173913043478261,14789.760547809648,0.062182003851194295,0.6735946599083773,1141
Q837P4_ENTFA_Meier_2023,Q837P4_ENTFA,Prokaryote,Activity,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.4258836074261175,9.650927793277278,9.125917030383544,-57.147918584263216,0.1,0.21428571428571427,-0.4468624346738095,0.5785685682897852,0.0,697
Q837P5_ENTFA_Meier_2023,Q837P5_ENTFA,Prokaryote,Activity,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.3733785759293062,9.961965214723374,9.290850923691348,-60.95126691547821,0.1,0.25333333333333335,-0.6165754028399999,0.5864208114093635,0.2037108100416349,747
Q8WTC7_9CNID_Somermeyer_2022,Q8WTC7_9CNID,Eukaryote,Activity,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.2675549745505247,8178.83301164609,7593.811754428871,-6.246303666116675,0.1,0.1322314049586777,8425.892681405327,0.2753373265926524,1.0095670177260743,1201
