assay_id,uniprot_id,taxon,coarse_selection_type,seed,fold,split,model,calibration_method,nominal_coverage,spearman,rmse,mae,r2,top_fraction,top_recall,selected_target_mean,selection_gain_sd,best_variant_regret_sd,observed_coverage,mean_interval_width,median_interval_width,position_coverage_mean,position_coverage_p10,position_coverage_min,covered_positions,normalized_mean_interval_width,fit_rows,calibration_rows,test_rows,excluded_rows,exact_variant_overlap,shared_position_count
CALM1_HUMAN_Weile_2017,CALM1_HUMAN,Human,OrganismalFitness,45,3,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.1739781217329239,0.36697549450743777,0.30660454045102303,-0.013634255812824625,0.1,0.08571428571428572,0.797438670057143,0.1998643605749189,0.5437223197652381,1.0,2.6874269976769027,2.7077413146209577,1.0,1.0,1.0,29,7.416549453178264,1176,295,342,0,0,0
CALM1_HUMAN_Weile_2017,CALM1_HUMAN,Human,OrganismalFitness,46,4,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.15794550004016397,0.375733000946059,0.29624334146689235,-0.005806673851950883,0.1,0.11764705882352941,0.9076314866470587,0.5462114800689587,0.3894163269963054,0.9848942598187311,3.275697813863049,3.37033553665818,0.9867374005305041,1.0,0.6923076923076923,29,9.043919041516604,1185,297,331,0,0,0
CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,Virus,OrganismalFitness,42,0,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.29794050343249434,1.9552443838228313,1.5858181715948239,-0.2766379048512966,0.1,0.25,-0.015045640731795854,0.7498535618508537,0.39391744716034954,0.9385964912280702,6.707082894915231,6.831053962139156,0.9385964912280702,0.868421052631579,0.8421052631578947,6,2.9038339157155724,334,84,114,0,0,0
CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,Virus,OrganismalFitness,43,1,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.16986695287661246,2.4797802812562866,2.030061765578184,-0.5755217736549261,0.1,0.0,-2.712313503991506,-0.16118882014377428,1.0779081700401763,0.6842105263157895,5.559857148771457,5.613754583272089,0.6842105263157895,0.47368421052631576,0.3157894736842105,6,2.7985309250122503,334,84,114,0,0,0
CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,Virus,OrganismalFitness,44,2,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.4087604544257914,1.587923828752826,1.3531155816116571,0.2159053784155801,0.1,0.5,1.2065179538552853,1.2075741395231736,0.13105145973618026,0.9649122807017544,6.290205510777959,6.351182965852965,0.9649122807017544,0.8947368421052632,0.7894736842105263,6,2.839623836962136,334,84,114,0,0,0
CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,Virus,OrganismalFitness,45,3,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.08708006718924972,1.9242400912727358,1.4477667297843724,-0.3711733585261452,0.1,0.0,0.5295099673248912,0.3474412853792085,1.5012188279725802,0.8105263157894737,5.261517090213184,5.494834694578783,0.8105263157894737,0.5894736842105263,0.42105263157894735,5,2.344021989898698,349,88,95,0,0,0
CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,Virus,OrganismalFitness,46,4,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.6720044792833146,1.6341559880491576,1.3247245114748074,0.3988047565231463,0.1,0.4,2.77736791476061,0.894630917281969,0.2420651114023923,0.9473684210526315,6.684357561306334,6.7986966199806425,0.9473684210526315,0.8947368421052632,0.8947368421052632,5,3.473775791294309,349,88,95,0,0,0
CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,Human,OrganismalFitness,42,0,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.1369936674112528,0.5792307457845595,0.46099628223049394,-0.763295712548969,0.1,0.14814814814814814,-0.07600907391049382,0.5860863791743115,2.5462456676722645,0.9905838041431262,4.955729411274564,5.143281129831543,0.9902281057613608,0.9882352941176471,0.8421052631578947,29,7.4555345045375985,1474,369,531,0,0,0
CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,Human,OrganismalFitness,43,1,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.3379616190643453,0.5509570357309748,0.423514641317246,-0.6372019743527892,0.1,0.1568627450980392,-0.35729895959803915,0.19508746997526077,7.827638884506583,0.9705304518664047,3.0472238005519947,3.203122564114471,0.9678866283355447,0.8789473684210526,0.7333333333333333,28,4.4461591314920055,1492,373,509,0,0,0
CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,Human,OrganismalFitness,44,2,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.07626738468389115,0.5113238316432085,0.3791948970171067,-0.6875320718456648,0.1,0.09803921568627451,-0.6019378373954248,-0.09933388572022803,0.0,0.9585798816568047,3.1261182463141273,3.29272328617749,0.9532688075230092,0.8801470588235294,0.5294117647058824,28,4.755514876292833,1493,374,507,0,0,0
