fold,assay_id,uniprot_id,model,calibration_method,evaluation_type,nominal_coverage,spearman,rmse,mae,r2,top_fraction,top_recall,selected_target_mean,selection_gain_sd,best_variant_regret_sd,observed_coverage,mean_interval_width,median_interval_width,position_coverage_mean,position_coverage_p10,position_coverage_min,covered_positions,test_rows,fit_proteins,calibration_proteins,test_proteins
0,ANCSZ_Hobbs_2022,ANCSZ,cross_protein_histgb,standard_split,held_out_protein,0.8,0.583947055947056,0.22648539244322832,0.19176170219091904,0.38445178856983087,0.1,0.15,0.6718899999999999,0.59371267267487,0.0,0.866,0.6779826491519093,0.6779826491519094,0.8497521685254027,0.5,0.0,269,1000,108,27,34
0,BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,cross_protein_histgb,standard_split,held_out_protein,0.8,0.5437381529215556,0.25402936885267724,0.2127917967750915,0.22562797950471214,0.1,0.2247191011235955,0.7734881959348566,0.9454453735530759,0.015569005850770987,0.8168539325842696,0.6779826491519093,0.6779826491519094,0.782851360241066,0.26625386996904027,0.0,52,890,108,27,34
0,CALM1_HUMAN_Weile_2017,CALM1_HUMAN,cross_protein_histgb,standard_split,held_out_protein,0.8,0.22170729836778597,0.2984313173504104,0.2434089685493838,-0.06873610849179124,0.1,0.07,0.58202,0.2823937082516455,0.03464103388759147,0.725,0.6779826491519093,0.6779826491519094,0.7214380776880777,0.5,0.0,148,1000,108,27,34
0,CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,cross_protein_histgb,standard_split,held_out_protein,0.8,0.6722438162438164,0.23329674025150113,0.20259409310530274,0.3468709187272021,0.1,0.23,0.7481299999999999,0.857815911864625,0.013856413388759457,0.872,0.6779826491519093,0.6779826491519094,0.8713300588300589,0.6428571428571429,0.21428571428571427,72,1000,108,27,34
0,CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,cross_protein_histgb,standard_split,held_out_protein,0.8,0.6001094401094402,0.23295168618742945,0.1898036754722665,0.3488014916306924,0.1,0.12,0.72405,0.7744003032642935,0.0866025836797466,0.841,0.6779826491519093,0.6779826491519094,0.841931216931217,0.4357142857142857,0.21428571428571427,72,1000,108,27,34
0,DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,cross_protein_histgb,standard_split,held_out_protein,0.8,0.7317382677382678,0.20557796711180643,0.15329474768247564,0.4928518861100105,0.1,0.31,0.8127800000000001,1.0817701932604502,0.0,0.911,0.6779826491519093,0.6779826491519094,0.9110805860805862,0.6041666666666667,0.125,65,1000,108,27,34
0,DYR_ECOLI_Nguyen_2023,DYR_ECOLI,cross_protein_histgb,standard_split,held_out_protein,0.8,0.48738779026028156,0.2432754459965501,0.20454340612891858,0.28806978290840424,0.1,0.17,0.61602,0.40066150316961124,0.03815163205389305,0.825,0.6779826491519093,0.6779826491519094,0.8286618444846292,0.5,0.0,158,1000,108,27,34
0,DYR_ECOLI_Thompson_2019,DYR_ECOLI,cross_protein_histgb,standard_split,held_out_protein,0.8,0.5269193509193509,0.24233870006830152,0.2014655099867599,0.2952627486532182,0.1,0.09,0.6073000000000001,0.3699662374798776,0.06235386024941756,0.823,0.6779826491519093,0.6779826491519094,0.8334178187403993,0.5,0.0,155,1000,108,27,34
0,ESTA_BACSU_Nutschel_2020,ESTA_BACSU,cross_protein_histgb,standard_split,held_out_protein,0.8,0.21163835515793517,0.2882373431470591,0.24339832003627532,0.0030244454883050498,0.1,0.11,0.585005,0.2927348411055845,0.020784676014833532,0.716,0.6779826491519093,0.6779826491519094,0.6778279785809905,0.2222222222222222,0.0,166,1000,108,27,34
0,GFP_AEQVI_Sarkisyan_2016,GFP_AEQVI,cross_protein_histgb,standard_split,held_out_protein,0.8,0.36366472239548603,0.2747914499511565,0.2370308646519262,0.09387500227989476,0.1,0.1,0.63089,0.451684435440086,0.03117693012470878,0.745,0.6779826491519093,0.6779826491519094,0.7133518062397372,0.25,0.0,232,1000,108,27,34
