fold,repeat,assay_id,uniprot_id,model,calibration_method,retained_fraction,retained_rows,mae,normalized_mae,uncertainty_threshold,family_id
1,0,MBD11_ARATH_Tsuboyama_2023_6ACV,MBD11_ARATH,cross_protein_histgb,mondrian_substitution,0.25,250,0.19905335514690456,0.6895413938337642,0.3371648911642155,ssf_029b997580c1
1,0,MET_HUMAN_Estevam_2023,MET_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.17293647045852134,0.5990698061665644,0.3371648911642155,ssf_9e206bd97a80
1,0,MTHR_HUMAN_Weile_2021,MTHR_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.2153288607147304,0.7459215703655755,0.3371648911642155,ssf_095a60e097b5
1,0,NUD15_HUMAN_Suiter_2020,NUD15_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.19420421246757688,0.6727434624473041,0.3371648911642155,ssf_7dd15a2e7599
1,0,NUSA_ECOLI_Tsuboyama_2023_1WCL,NUSA_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,250,0.16535120590872612,0.5727936658502981,0.3371648911642155,ssf_a92a5d40f0e3
1,0,P84126_THETH_Chan_2017,P84126_THETH,cross_protein_histgb,mondrian_substitution,0.25,250,0.23614852272967513,0.8180428904759398,0.3371648911642155,ssf_415fc4c4433b
1,0,PA_I34A1_Wu_2015,PA_I34A1,cross_protein_histgb,mondrian_substitution,0.25,250,0.24474556400241498,0.8478239274706362,0.33915609783325285,ssf_ec35c0fe8f0c
1,0,POLG_DEN26_Suphatrakul_2023,POLG_DEN26,cross_protein_histgb,mondrian_substitution,0.25,250,0.23102267049874806,0.8002864085523153,0.3371648911642155,ssf_1d81bb997017
1,0,PTEN_HUMAN_Matreyek_2021,PTEN_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.22980075452772375,0.7960536584727839,0.3371648911642155,ssf_a81536eee23e
1,0,PTEN_HUMAN_Mighell_2018,PTEN_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.2143183654642533,0.742420969396245,0.3371648911642155,ssf_a81536eee23e
1,0,RAD_ANTMA_Tsuboyama_2023_2CJJ,RAD_ANTMA,cross_protein_histgb,mondrian_substitution,0.25,194,0.20855636229182326,0.7224610344420617,0.3371648911642155,ssf_0eef6f01f081
1,0,RBP1_HUMAN_Tsuboyama_2023_2KWH,RBP1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,244,0.16049861894885015,0.555983817558841,0.3371648911642155,ssf_bc19e1d23319
1,0,RCRO_LAMBD_Tsuboyama_2023_1ORC,RCRO_LAMBD,cross_protein_histgb,mondrian_substitution,0.25,250,0.16910478101675375,0.5857964379459452,0.3371648911642155,ssf_c6c5a726cc75
1,0,RDRP_I33A0_Li_2023,RDRP_I33A0,cross_protein_histgb,mondrian_substitution,0.25,250,0.25367370654712795,0.8787519464889986,0.3371648911642155,ssf_bcc2d8a187a4
1,0,RL20_AQUAE_Tsuboyama_2023_1GYZ,RL20_AQUAE,cross_protein_histgb,mondrian_substitution,0.25,250,0.17696065043363457,0.6130099814880485,0.3371648911642155,ssf_310c599ef29a
1,0,RNC_ECOLI_Weeks_2023,RNC_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,250,0.17173985700925334,0.5949246135116627,0.3371648911642155,ssf_692c79c706c4
1,0,SCIN_STAAR_Tsuboyama_2023_2QFF,SCIN_STAAR,cross_protein_histgb,mondrian_substitution,0.25,250,0.23771674192614092,0.8234753613894132,0.3371648911642155,ssf_cf940c8da196
1,0,SERC_HUMAN_Xie_2023,SERC_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.2051275365870373,0.7105829860919667,0.3371648911642155,ssf_f2035d659d6a
1,0,SOX30_HUMAN_Tsuboyama_2023_7JJK,SOX30_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.1663784459670829,0.5763521315748193,0.3371648911642155,ssf_6cc095ce3976
1,0,SPA_STAAU_Tsuboyama_2023_1LP1,SPA_STAAU,cross_protein_histgb,mondrian_substitution,0.25,250,0.1946226911642438,0.6741931159011556,0.3371648911642155,ssf_5e471b6b3e5d
1,0,SPG1_STRSG_Olson_2014,SPG1_STRSG,cross_protein_histgb,mondrian_substitution,0.25,250,0.22092758847860108,0.7655510745533215,0.3371648911642155,ssf_db4b6fc031cf
1,0,TRPC_SACS2_Chan_2017,TRPC_SACS2,cross_protein_histgb,mondrian_substitution,0.25,250,0.20830862250465157,0.7216026397630757,0.3371648911642155,ssf_415fc4c4433b
1,0,TRPC_THEMA_Chan_2017,TRPC_THEMA,cross_protein_histgb,mondrian_substitution,0.25,250,0.22239064743139283,0.7703841953954279,0.3371648911642155,ssf_415fc4c4433b
1,0,UBR5_HUMAN_Tsuboyama_2023_1I2T,UBR5_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.19247615079881666,0.6667572782364013,0.3371648911642155,ssf_059a8d032aa4
1,0,VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,cross_protein_histgb,mondrian_substitution,0.25,250,0.1342620296329651,0.46509754625205874,0.3371648911642155,ssf_c5c95e85f55b
1,0,YNZC_BACSU_Tsuboyama_2023_2JVD,YNZC_BACSU,cross_protein_histgb,mondrian_substitution,0.25,179,0.16033678163693055,0.5554234489854412,0.3371648911642155,ssf_ca121528f828
2,0,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,cross_protein_histgb,mondrian_substitution,0.25,250,0.20212826751975616,0.700193208076875,0.3260303775279143,ssf_1bf288bd319a
2,0,A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,cross_protein_histgb,mondrian_substitution,0.25,250,0.20113500874882373,0.6967524570438623,0.3260303775279143,ssf_97ae43962602
2,0,A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,cross_protein_histgb,mondrian_substitution,0.25,250,0.21972465103833622,0.7611964586876898,0.32194671716097384,ssf_97ae43962602
2,0,C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,cross_protein_histgb,mondrian_substitution,0.25,250,0.2141999522990969,0.7420107717272102,0.3260303775279143,ssf_97ae43962602
2,0,CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.2239134292241708,0.7756592596562101,0.3260303775279143,ssf_0fc8efec29c6
2,0,CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.21790791826813172,0.7548555490518098,0.3260303775279143,ssf_0fc8efec29c6
2,0,CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.20044937187901632,0.6943773400682057,0.32194671716097384,ssf_99e3b36fb3c0
2,0,CASP7_HUMAN_Roychowdhury_2020,CASP7_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.19042420363452134,0.6596491211963091,0.32194671716097384,ssf_99e3b36fb3c0
2,0,CBS_HUMAN_Sun_2020,CBS_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.23865992086969123,0.8350945342767593,0.3260303775279143,ssf_c188af622fce
2,0,CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,250,0.20564314781868803,0.7138810466889912,0.33273373239901727,ssf_e2b2659337b1
2,0,CCR5_HUMAN_Gill_2023,CCR5_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.23670130633001382,0.8199642005135168,0.33273373239901727,ssf_2fd7d813c6f4
2,0,D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR,cross_protein_histgb,mondrian_substitution,0.25,250,0.2280281904372918,0.7900487283917493,0.32194671716097384,ssf_cba7b508de0e
2,0,ENV_HV1BR_Haddox_2016,ENV_HV1BR,cross_protein_histgb,mondrian_substitution,0.25,250,0.24402866493437655,0.845340515009447,0.33273373239901727,ssf_1bf288bd319a
2,0,FECA_ECOLI_Tsuboyama_2023_2D1U,FECA_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,250,0.17504421091128705,0.6063712369239975,0.3260303775279143,ssf_9a3ea6c0c19c
2,0,GDIA_HUMAN_Silverstein_2021,GDIA_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.21660405582266762,0.7503403654876402,0.32225042023313843,ssf_8931019bd293
2,0,GFP_AEQVI_Sarkisyan_2016,GFP_AEQVI,cross_protein_histgb,mondrian_substitution,0.25,250,0.2295364417250806,0.7951379560819022,0.32194671716097384,ssf_cba7b508de0e
2,0,HCP_LAMBD_Tsuboyama_2023_2L6Q,HCP_LAMBD,cross_protein_histgb,mondrian_substitution,0.25,250,0.13318721812896306,0.4613742881234471,0.33273373239901727,ssf_f4afbafe8fe3
2,0,HEM3_HUMAN_Loggerenberg_2023,HEM3_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.2215976648775087,0.7706798546024903,0.3260303775279143,ssf_afe0fb52df15
2,0,ISDH_STAAW_Tsuboyama_2023_2LHR,ISDH_STAAW,cross_protein_histgb,mondrian_substitution,0.25,235,0.18395904440142125,0.6372531834307519,0.32194671716097384,ssf_952abe758b6a
2,0,NKX31_HUMAN_Tsuboyama_2023_2L9R,NKX31_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.16676060597000572,0.5776759733201063,0.32194671716097384,ssf_3de478b56341
2,0,OTC_HUMAN_Lo_2023,OTC_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.1945719809143973,0.6740246570722929,0.32225042023313843,ssf_85ec1183d131
2,0,PITX2_HUMAN_Tsuboyama_2023_2L7M,PITX2_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,235,0.15417039556095347,0.5340622197674567,0.32194671716097384,ssf_3de478b56341
2,0,PPARG_HUMAN_Majithia_2016,PPARG_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.16655155395367371,0.5769519322683547,0.33273373239901727,ssf_6d98a5313455
2,0,PPM1D_HUMAN_Miller_2022,PPM1D_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.18577318621587868,0.6435383598687373,0.3260303775279143,ssf_c26e504ac4d4
2,0,PRKN_HUMAN_Clausen_2023,PRKN_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.19077166697686362,0.6608527701235428,0.3260303775279143,ssf_044a6e3db01c
2,0,Q2N0S5_9HIV1_Haddox_2018,Q2N0S5_9HIV1,cross_protein_histgb,mondrian_substitution,0.25,250,0.22581504442921652,0.7822466512530761,0.3260303775279143,ssf_1bf288bd319a
2,0,Q6WV12_9MAXI_Somermeyer_2022,Q6WV12_9MAXI,cross_protein_histgb,mondrian_substitution,0.25,250,0.24377925611691384,0.8444765370900557,0.32225042023313843,ssf_cba7b508de0e
2,0,Q8WTC7_9CNID_Somermeyer_2022,Q8WTC7_9CNID,cross_protein_histgb,mondrian_substitution,0.25,250,0.2244645308085535,0.7775683418301415,0.32194671716097384,ssf_cba7b508de0e
2,0,RD23A_HUMAN_Tsuboyama_2023_1IFY,RD23A_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,200,0.1419233744034938,0.49163737651647943,0.33273373239901727,ssf_3998cbaed1a7
2,0,SAV1_MOUSE_Tsuboyama_2023_2YSB,SAV1_MOUSE,cross_protein_histgb,mondrian_substitution,0.25,170,0.17917290618592724,0.6206738268301202,0.32225042023313843,ssf_0d40c1bb820d
2,0,SBI_STAAM_Tsuboyama_2023_2JVG,SBI_STAAM,cross_protein_histgb,mondrian_substitution,0.25,250,0.17284835137809126,0.5987645525650952,0.32194671716097384,ssf_60dadcbd5371
2,0,SHOC2_HUMAN_Kwon_2022,SHOC2_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.22528077634757881,0.7803958914031783,0.3260303775279143,ssf_6f5083a5504d
2,0,SPG2_STRSG_Tsuboyama_2023_5UBS,SPG2_STRSG,cross_protein_histgb,mondrian_substitution,0.25,250,0.1932350583670899,0.6693862124838643,0.3260303775279143,ssf_67e127763d3d
2,0,SPTN1_CHICK_Tsuboyama_2023_1TUD,SPTN1_CHICK,cross_protein_histgb,mondrian_substitution,0.25,250,0.16252913698977636,0.5630177274621638,0.3260303775279143,ssf_b0e1111705e5
2,0,SRC_HUMAN_Ahler_2019,SRC_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.17112643563175148,0.5927996584646207,0.33273373239901727,ssf_c38d9b4005f8
2,0,SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,SRC_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.1924042322243484,0.6665081448618607,0.33273373239901727,ssf_c38d9b4005f8
2,0,SRC_HUMAN_Nguyen_2022,SRC_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.19145825519213852,0.6632311826582177,0.3260303775279143,ssf_c38d9b4005f8
2,0,TAT_HV1BR_Fernandes_2016,TAT_HV1BR,cross_protein_histgb,mondrian_substitution,0.25,250,0.2595863632348579,0.8992339897667144,0.32194671716097384,ssf_0d06a357cd85
2,0,THO1_YEAST_Tsuboyama_2023_2WQG,THO1_YEAST,cross_protein_histgb,mondrian_substitution,0.25,164,0.14235576222945936,0.49313539882911106,0.32194671716097384,ssf_a523304d9a92
2,0,TPK1_HUMAN_Weile_2017,TPK1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.21476979452271616,0.7439847685453328,0.3260303775279143,ssf_3c2e5ceba3be
2,0,TPMT_HUMAN_Matreyek_2018,TPMT_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.2088253991285274,0.7233927640993906,0.3260303775279143,ssf_b5a772423035
2,0,TPOR_HUMAN_Bridgford_2020,TPOR_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,141,0.225023626418835,0.7795059417272873,0.3330383168538913,ssf_540579521118
3,0,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,cross_protein_histgb,mondrian_substitution,0.25,231,0.2824451177880919,0.9784195237234474,0.301563854952219,ssf_977f4be4ca9f
3,0,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,cross_protein_histgb,mondrian_substitution,0.25,250,0.20883442569769778,0.7234252484245208,0.301563854952219,ssf_c9df9de4e934
3,0,A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,cross_protein_histgb,mondrian_substitution,0.25,250,0.1656604867356212,0.573865046597967,0.3094537163404388,ssf_579275b2407d
3,0,A4_HUMAN_Seuma_2022,A4_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,199,0.22797710185900424,0.7897364699624643,0.3094537163404388,ssf_6a1f189f4e62
3,0,AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,cross_protein_histgb,mondrian_substitution,0.25,250,0.20163119558577344,0.6984713016219875,0.3094537163404388,ssf_c8ac09285ada
3,0,BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,cross_protein_histgb,mondrian_substitution,0.25,223,0.1902684954105633,0.6591098183138455,0.3094537163404388,ssf_39e5faa59a41
3,0,CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,cross_protein_histgb,mondrian_substitution,0.25,250,0.242357816157105,0.8395525221674525,0.301563854952219,ssf_2fb7a12de8e4
3,0,CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,cross_protein_histgb,mondrian_substitution,0.25,250,0.16756257789918108,0.580454086964315,0.3094537163404388,ssf_61777c3573dc
3,0,CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.17934015508511203,0.6212528315158854,0.3094537163404388,ssf_1d3a8e32222c
3,0,CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.1889975542017047,0.6547070601208225,0.3094537163404388,ssf_1d3a8e32222c
3,0,CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,cross_protein_histgb,mondrian_substitution,0.25,250,0.16484357204243974,0.5710351696749485,0.3094537163404388,ssf_322a3fa1e236
3,0,DLG4_HUMAN_Faure_2021,DLG4_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.22804081261090822,0.7899569991383061,0.3094537163404388,ssf_d98da1f7d712
3,0,DLG4_RAT_McLaughlin_2012,DLG4_RAT,cross_protein_histgb,mondrian_substitution,0.25,250,0.2179079805119903,0.7548558461954861,0.3094537163404388,ssf_d98da1f7d712
3,0,DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,cross_protein_histgb,mondrian_substitution,0.25,250,0.15650190929574856,0.5421387878330066,0.3094537163404388,ssf_0500559dbf7c
