assay_id,uniprot_id,taxon,coarse_selection_type,split,model,evaluation_type,target_space,spearman,rmse,mae,r2,top_fraction,top_recall,selected_target_mean,selection_gain_sd,best_variant_regret_sd,test_rows
CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN,Human,Expression,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.6387424638279589,0.774229794025272,0.6124652693272875,0.4146010002586934,0.1,0.3108320251177394,0.9705141036232338,0.8673944685547517,0.6648999181006289,6370
CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,Human,Binding,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.6708166822646522,0.7601176308207453,0.6101583084707733,0.4346902478133554,0.1,0.3902439024390244,0.9380075893560976,1.0891919619290897,0.06515785859417601,6142
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,Eukaryote,Stability,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.6787925092552338,0.6733393467466087,0.5255606781501109,0.5747058941868731,0.1,0.21323529411764705,0.006803435823431674,0.7762544229307554,0.07987760568349063,1353
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST,Eukaryote,Stability,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.5823091869585686,0.836595640982659,0.674671340925864,0.33314722881301084,0.1,0.375,-0.2621865566808259,0.8136407230237581,0.3837974087270067,955
D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR,Eukaryote,Activity,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.1623439769923471,1.069423803137611,0.8333222135456271,-0.09035195331869628,0.1,0.1111111111111111,22624.858757449678,0.07604826603183659,0.29138286831070914,1169
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,Human,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.5644028114099979,0.824507589261654,0.6464890251263047,0.3273664620793503,0.1,0.2578125,-0.0746018103754655,0.7453958155154534,0.0,1280
DLG4_RAT_McLaughlin_2012,DLG4_RAT,Eukaryote,Binding,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.5940302132329117,0.8286780234153954,0.5848183300361802,0.34490927484068923,0.1,0.1962025316455696,0.05998159620253164,0.5708182014938963,0.11194056571667312,1576
DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,Prokaryote,Stability,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.4970979489788855,0.8858360675689478,0.6483402021122024,0.22965231387509366,0.1,0.22772277227722773,-0.3633817058658947,0.4330946860482373,0.0,1008
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,Human,Stability,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.7223436674936986,0.657242895057653,0.48378035024180016,0.6072334368043034,0.1,0.2786885245901639,-0.019992616896413812,0.8212921389623018,0.0,1216
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,Eukaryote,Stability,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.6812163268260096,0.7526485252821562,0.565309987132399,0.4449575835100894,0.1,0.3114754098360656,0.17546681839531467,0.8649892301337974,0.0,1213
