fold,repeat,assay_id,uniprot_id,model,calibration_method,retained_fraction,retained_rows,mae,normalized_mae,uncertainty_threshold,feature_set,family_id
1,0,SERC_HUMAN_Xie_2023,SERC_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.19154582031958364,0.6635345173092975,0.3214212032899808,mutation_descriptors_plus_fixed_esm_scores,cssf_f2035d659d6a
1,0,SHOC2_HUMAN_Kwon_2022,SHOC2_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.24049255057191632,0.8330910494104024,0.3218944364927323,mutation_descriptors_plus_fixed_esm_scores,cssf_6f5083a5504d
1,0,SPTN1_CHICK_Tsuboyama_2023_1TUD,SPTN1_CHICK,cross_protein_histgb,mondrian_substitution,0.25,250,0.16734284082977824,0.579692895046695,0.3218944364927323,mutation_descriptors_plus_fixed_esm_scores,cssf_b0e1111705e5
1,0,SUMO1_HUMAN_Weile_2017,SUMO1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.19407714437895868,0.6723032854562008,0.3214212032899808,mutation_descriptors_plus_fixed_esm_scores,cssf_19622d9f3f73
2,0,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,cross_protein_histgb,mondrian_substitution,0.25,250,0.23408826311002912,0.8109059357773127,0.3040488734036826,mutation_descriptors_plus_fixed_esm_scores,cssf_1bf288bd319a
2,0,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,cross_protein_histgb,mondrian_substitution,0.25,250,0.23806470104222763,0.8246821131966338,0.3040488734036826,mutation_descriptors_plus_fixed_esm_scores,cssf_c9df9de4e934
2,0,A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,cross_protein_histgb,mondrian_substitution,0.25,250,0.21085122349702026,0.7304104290751054,0.3040488734036826,mutation_descriptors_plus_fixed_esm_scores,cssf_97ae43962602
2,0,A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,cross_protein_histgb,mondrian_substitution,0.25,250,0.23392071693081634,0.8103761708118775,0.3040488734036826,mutation_descriptors_plus_fixed_esm_scores,cssf_97ae43962602
2,0,A4D664_9INFA_Soh_2019,A4D664_9INFA,cross_protein_histgb,mondrian_substitution,0.25,250,0.243143167226738,0.8422730594364873,0.3040488734036826,mutation_descriptors_plus_fixed_esm_scores,cssf_c55b9af61b07
2,0,AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,cross_protein_histgb,mondrian_substitution,0.25,250,0.19971364278504003,0.6918287005266257,0.3020076420530866,mutation_descriptors_plus_fixed_esm_scores,cssf_c8ac09285ada
2,0,ACE2_HUMAN_Chan_2020,ACE2_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.2506334517101063,0.8682201789867278,0.30866732112704476,mutation_descriptors_plus_fixed_esm_scores,cssf_67d793b1df10
